CBSA,agencies,certified,seniors,total_pop,certified_per_10k_seniors,agencies_per_100k_pop,census,census_reporting_pct
"Houston-Pasadena-The Woodlands, TX",2471,464,918547,7442788,5.05,33.2,120581,62.0
"Dallas-Fort Worth-Arlington, TX",2352,654,967934,7985590,6.76,29.45,161277,63.1
"San Antonio-New Braunfels, TX",545,91,370517,2662733,2.46,20.47,70785,72.6
"McAllen-Edinburg-Mission, TX",453,88,104535,891977,8.42,50.79,57741,75.2
"Austin-Round Rock-San Marcos, TX",337,65,289823,2426592,2.24,13.89,39035,68.0
"El Paso, TX",230,60,114541,874182,5.24,26.31,37076,81.4
"Brownsville-Harlingen, TX",207,33,60919,426120,5.42,48.58,27041,72.4
Rural Texas,168,78,277352,1319962,2.81,12.73,19649,88.8
"Laredo, TX",126,41,27741,269294,14.78,46.79,12163,83.6
"Corpus Christi, TX",102,32,74667,448012,4.29,22.77,16552,82.1
"Beaumont-Port Arthur, TX",92,28,63241,396827,4.43,23.18,11569,84.0
"Tyler, TX",68,22,42158,241740,5.22,28.13,7139,83.8
"Longview, TX",67,18,49547,291044,3.63,23.02,7254,80.3
"Lubbock, TX",65,16,48611,358708,3.29,18.12,7130,78.9
"Killeen-Temple, TX",64,15,60531,494360,2.48,12.95,10762,75.0
"Sherman-Denison, TX",55,20,25876,143337,7.73,38.37,6059,78.2
"Amarillo, TX",48,10,41743,271917,2.4,17.65,5815,75.5
"Waco, TX",44,10,48897,302045,2.05,14.57,6716,91.3
"College Station-Bryan, TX",43,10,32458,278335,3.08,15.45,2715,81.8
"Abilene, TX",36,11,28052,180408,3.92,19.95,9108,78.9
"Wichita Falls, TX",35,14,24393,149358,5.74,23.43,6248,88.9
"Rio Grande City-Roma, TX",32,7,7519,66067,9.31,48.44,3107,71.9
"Paris, TX",30,12,12900,62280,9.3,48.17,2790,90.0
"Texarkana, TX-AR",29,10,16165,92115,6.19,31.48,2845,83.3
"Alice, TX",27,14,7816,45793,17.91,58.96,4846,85.7
"Lufkin, TX",27,10,14722,87275,6.79,30.94,3028,86.2
"San Angelo, TX",26,6,20604,120986,2.91,21.49,2808,77.8
"Midland, TX",25,8,19352,180019,4.13,13.89,3513,92.0
"Odessa, TX",24,9,16258,164654,5.54,14.58,2527,87.5
"Granbury, TX",23,4,16840,65894,2.38,34.9,1454,69.6
"Victoria, TX",22,7,17377,98554,4.03,22.32,2344,87.0
"Eagle Pass, TX",22,5,6975,58082,7.17,37.88,4358,72.7
"Del Rio, TX",16,2,6647,47741,3.01,33.51,2787,88.2
"Athens, TX",15,8,19136,84862,4.18,17.68,1620,87.5
"Brownwood, TX",14,5,8062,38347,6.2,36.51,2436,100.0
"Kerrville, TX",13,2,15544,53489,1.29,24.3,2370,61.5
"Huntsville, TX",13,2,11123,80209,1.8,16.21,734,66.7
"Sulphur Springs, TX",12,5,7074,37784,7.07,31.76,786,92.3
"Palestine, TX",12,6,8865,58439,6.77,20.53,2048,92.3
"Mount Pleasant, TX",11,5,9807,56237,5.1,19.56,1433,91.7
"Corsicana, TX",10,5,9125,54711,5.48,18.28,1113,100.0
"Nacogdoches, TX",10,7,10242,65162,6.83,15.35,1119,90.0
"Gainesville, TX",9,4,8136,43046,4.92,20.91,814,77.8
"Plainview, TX",8,4,5570,37347,7.18,21.42,349,100.0
"Big Spring, TX",8,3,4322,32290,6.94,24.78,551,87.5
"Brenham, TX",8,3,8464,36647,3.54,21.83,853,87.5
"El Campo, TX",8,4,7589,41794,5.27,19.14,682,87.5
"Kingsville, TX",7,1,4052,30579,2.47,22.89,1549,100.0
"Fredericksburg, TX",7,2,8301,27524,2.41,25.43,356,85.7
"Uvalde, TX",7,1,4098,24881,2.44,28.13,858,100.0
"Stephenville, TX",5,1,6497,43794,1.54,11.42,551,83.3
"Beeville, TX",5,3,3950,31083,7.59,16.09,1170,100.0
"Zapata, TX",5,0,1950,13841,0.0,36.12,742,60.0
"Mineral Wells, TX",5,1,6008,29295,1.66,17.07,416,80.0
"Bay City, TX",4,3,6607,36329,4.54,11.01,272,100.0
"Pampa, TX",4,2,3656,21877,5.47,18.28,214,100.0
"Vernon, TX",4,2,2499,12616,8.0,31.71,642,100.0
"Snyder, TX",3,1,2564,16488,3.9,18.2,27,66.7
"Bonham, TX",3,2,6767,37326,2.96,8.04,169,100.0
"Jacksonville, TX",3,2,9527,51886,2.1,5.78,98,66.7
"Andrews, TX",3,1,1806,18610,5.54,16.12,53,66.7
"Raymondville, TX",2,0,2967,20139,0.0,9.93,48,100.0
"Port Lavaca, TX",2,2,3815,19868,5.24,10.07,125,100.0
"Sweetwater, TX",2,2,2823,14454,7.08,13.84,271,100.0
"Borger, TX",2,2,3624,20184,5.52,9.91,5,100.0
"Town of Pecos, TX",1,1,1595,12664,6.27,7.9,94,100.0
"Hereford, TX",1,0,2435,18460,0.0,5.42,117,100.0
"Dumas, TX",1,0,2394,21373,0.0,4.68,140,100.0
