CBSA,avg_clients_per_certified_agency,total_census,reporting_pct
"Abilene, TX",238.5,9108,78.9
"Alice, TX",253.0,4846,85.7
"Amarillo, TX",249.2,5815,75.5
"Andrews, TX",20.0,53,66.7
"Athens, TX",128.0,1620,87.5
"Austin-Round Rock-San Marcos, TX",364.0,39035,68.0
"Bay City, TX",77.7,272,100.0
"Beaumont-Port Arthur, TX",166.4,11569,84.0
"Beeville, TX",337.3,1170,100.0
"Big Spring, TX",126.7,551,87.5
"Bonham, TX",84.5,169,100.0
"Borger, TX",2.5,5,100.0
"Brenham, TX",122.0,853,87.5
"Brownsville-Harlingen, TX",188.4,27041,72.4
"Brownwood, TX",113.4,2436,100.0
"College Station-Bryan, TX",131.1,2715,81.8
"Corpus Christi, TX",309.6,16552,82.1
"Corsicana, TX",149.6,1113,100.0
"Dallas-Fort Worth-Arlington, TX",127.3,161277,63.1
"Del Rio, TX",170.0,2787,88.2
"Eagle Pass, TX",500.4,4358,72.7
"El Campo, TX",155.0,682,87.5
"El Paso, TX",296.8,37076,81.4
"Fredericksburg, TX",110.5,356,85.7
"Gainesville, TX",178.2,814,77.8
"Granbury, TX",130.2,1454,69.6
"Houston-Pasadena-The Woodlands, TX",106.6,120581,62.0
"Huntsville, TX",215.5,734,66.7
"Jacksonville, TX",49.0,98,66.7
"Kerrville, TX",1057.0,2370,61.5
"Killeen-Temple, TX",400.7,10762,75.0
"Kingsville, TX",516.0,1549,100.0
"Laredo, TX",91.6,12163,83.6
"Longview, TX",153.7,7254,80.3
"Lubbock, TX",212.2,7130,78.9
"Lufkin, TX",102.9,3028,86.2
"McAllen-Edinburg-Mission, TX",161.9,57741,75.2
"Midland, TX",292.2,3513,92.0
"Mineral Wells, TX",68.0,416,80.0
"Mount Pleasant, TX",181.0,1433,91.7
"Nacogdoches, TX",124.9,1119,90.0
"Odessa, TX",107.6,2527,87.5
"Palestine, TX",204.2,2048,92.3
"Pampa, TX",75.0,214,100.0
"Paris, TX",83.8,2790,90.0
"Plainview, TX",66.8,349,100.0
"Port Lavaca, TX",62.5,125,100.0
"Rio Grande City-Roma, TX",81.3,3107,71.9
Rural Texas,127.5,19649,88.8
"San Angelo, TX",161.7,2808,77.8
"San Antonio-New Braunfels, TX",266.4,70785,72.6
"Sherman-Denison, TX",204.7,6059,78.2
"Snyder, TX",0.0,27,66.7
"Stephenville, TX",425.0,551,83.3
"Sulphur Springs, TX",75.2,786,92.3
"Sweetwater, TX",135.5,271,100.0
"Texarkana, TX-AR",121.0,2845,83.3
"Town of Pecos, TX",94.0,94,100.0
"Tyler, TX",159.5,7139,83.8
"Uvalde, TX",73.0,858,100.0
"Vernon, TX",306.5,642,100.0
"Victoria, TX",93.6,2344,87.0
"Waco, TX",253.7,6716,91.3
"Wichita Falls, TX",340.6,6248,88.9
