agencies,locations,Medicare-certified HH,Licensed-only HH,Hospice,PAS only,County,total_pop,seniors,CBSA,certified_per_10k_seniors,agencies_per_100k_pop,census,census_reporting_pct
12,13,6,0,5,1,Anderson,58439,8865,"Palestine, TX",6.768,20.534,2048,92.3
3,3,1,0,1,1,Andrews,18610,1806,"Andrews, TX",5.537,16.12,53,66.7
27,29,10,6,6,6,Angelina,87275,14722,"Lufkin, TX",6.793,30.937,3028,86.2
3,3,2,0,1,0,Aransas,24876,7054,"Corpus Christi, TX",2.835,12.06,448,100.0
0,0,0,0,0,0,Archer,8867,1932,"Wichita Falls, TX",0.0,0.0,0,0.0
0,0,0,0,0,0,Armstrong,1822,459,"Amarillo, TX",0.0,0.0,0,0.0
3,3,1,1,1,0,Atascosa,51008,7768,"San Antonio-New Braunfels, TX",1.287,5.881,302,66.7
5,5,1,0,1,3,Austin,31170,6556,"Houston-Pasadena-The Woodlands, TX",1.525,16.041,257,60.0
0,0,0,0,0,0,Bailey,6913,1361,Rural Texas,0.0,0.0,0,0.0
0,0,0,0,0,0,Bandera,22021,6554,"San Antonio-New Braunfels, TX",0.0,0.0,0,0.0
10,10,2,2,4,2,Bastrop,106582,16402,"Austin-Round Rock-San Marcos, TX",1.219,9.382,2605,80.0
2,2,1,0,0,1,Baylor,3485,950,Rural Texas,10.526,57.389,218,100.0
5,6,3,0,2,1,Bee,31083,3950,"Beeville, TX",7.595,16.086,1170,100.0
59,59,14,11,16,18,Bell,386897,46147,"Killeen-Temple, TX",3.034,15.25,10661,79.7
490,503,82,110,152,150,Bexar,2067341,266184,"San Antonio-New Braunfels, TX",3.081,23.702,65766,73.4
0,0,0,0,0,0,Blanco,12446,3285,Rural Texas,0.0,0.0,0,0.0
0,0,0,0,0,0,Borden,713,123,Rural Texas,0.0,0.0,0,0.0
2,2,1,0,1,0,Bosque,18687,4785,"Waco, TX",2.09,10.703,53,100.0
29,30,10,5,9,6,Bowie,92115,16165,"Texarkana, TX-AR",6.186,31.482,2845,83.3
105,108,18,23,16,48,Brazoria,391255,50224,"Houston-Pasadena-The Woodlands, TX",3.584,26.837,10006,56.5
41,42,10,7,10,15,Brazos,242311,24712,"College Station-Bryan, TX",4.047,16.92,2706,83.3
2,2,1,1,0,0,Brewster,9503,2515,Rural Texas,3.976,21.046,297,100.0
0,0,0,0,0,0,Briscoe,1301,320,Rural Texas,0.0,0.0,0,0.0
5,5,3,0,0,2,Brooks,6943,1497,"Alice, TX",20.04,72.015,238,100.0
14,14,5,1,5,3,Brown,38347,8062,"Brownwood, TX",6.202,36.509,2436,100.0
0,0,0,0,0,0,Burleson,18857,4170,"College Station-Bryan, TX",0.0,0.0,0,0.0
14,14,4,1,5,4,Burnet,52652,12426,Rural Texas,3.219,26.59,1945,100.0
0,0,0,0,0,0,Caldwell,48669,7446,"Austin-Round Rock-San Marcos, TX",0.0,0.0,0,0.0
2,2,2,0,0,0,Calhoun,19868,3815,"Port Lavaca, TX",5.242,10.066,125,100.0
0,0,0,0,0,0,Callahan,14241,2985,"Abilene, TX",0.0,0.0,0,0.0
207,210,33,32,17,125,Cameron,426120,60919,"Brownsville-Harlingen, TX",5.417,48.578,27041,72.4
4,4,2,0,1,1,Camp,12798,2401,"Mount Pleasant, TX",8.33,31.255,637,75.0
0,0,0,0,0,0,Carson,5801,1196,"Amarillo, TX",0.0,0.0,0,0.0
5,5,3,1,1,0,Cass,28568,6432,Rural Texas,4.664,17.502,671,80.0
0,0,0,0,0,0,Castro,7344,1376,Rural Texas,0.0,0.0,0,0.0
2,2,1,0,0,1,Chambers,51498,6491,"Houston-Pasadena-The Woodlands, TX",1.541,3.884,115,100.0
3,3,2,0,0,1,Cherokee,51886,9527,"Jacksonville, TX",2.099,5.782,98,66.7
3,3,2,0,1,0,Childress,6743,1154,Rural Texas,17.331,44.491,79,100.0
1,1,1,0,0,0,Clay,10495,2455,"Wichita Falls, TX",4.073,9.528,63,100.0
0,0,0,0,0,0,Cochran,2550,368,"Lubbock, TX",0.0,0.0,0,0.0
0,0,0,0,0,0,Coke,3353,906,Rural Texas,0.0,0.0,0,0.0
1,1,1,0,0,0,Coleman,7833,2053,Rural Texas,4.871,12.767,34,100.0
388,392,90,98,56,145,Collin,1163337,134714,"Dallas-Fort Worth-Arlington, TX",6.681,33.352,15863,51.0
1,1,1,0,0,0,Collingsworth,2588,628,Rural Texas,15.924,38.64,18,100.0
1,1,1,0,0,0,Colorado,21006,4910,Rural Texas,2.037,4.761,31,100.0
37,39,5,10,5,18,Comal,183826,34386,"San Antonio-New Braunfels, TX",1.454,20.128,3131,66.7
0,0,0,0,0,0,Comanche,13950,3338,Rural Texas,0.0,0.0,0,0.0
0,0,0,0,0,0,Concho,3328,659,Rural Texas,0.0,0.0,0,0.0
9,9,4,0,2,3,Cooke,43046,8136,"Gainesville, TX",4.916,20.908,814,77.8
4,4,1,1,1,1,Coryell,84748,9621,"Killeen-Temple, TX",1.039,4.72,101,25.0
0,0,0,0,0,0,Cottle,1368,317,Rural Texas,0.0,0.0,0,0.0
0,0,0,0,0,0,Crane,4610,719,Rural Texas,0.0,0.0,0,0.0
0,0,0,0,0,0,Crockett,2822,537,Rural Texas,0.0,0.0,0,0.0
1,1,1,0,0,0,Crosby,5041,967,"Lubbock, TX",10.341,19.837,16,100.0
0,0,0,0,0,0,Culberson,2195,641,Rural Texas,0.0,0.0,0,0.0
0,0,0,0,0,0,Dallam,7298,815,Rural Texas,0.0,0.0,0,0.0
1043,1061,366,198,158,325,Dallas,2621179,309055,"Dallas-Fort Worth-Arlington, TX",11.843,39.791,82571,70.3
2,2,1,1,0,0,Dawson,12134,1687,Rural Texas,5.928,16.483,185,100.0
2,2,2,0,0,0,DeWitt,20016,4060,Rural Texas,4.926,9.992,7,100.0
1,1,0,0,1,0,Deaf Smith,18460,2435,"Hereford, TX",0.0,5.417,117,100.0
0,0,0,0,0,0,Delta,5438,1110,Rural Texas,0.0,0.0,0,0.0
219,219,54,41,29,95,Denton,979561,113125,"Dallas-Fort Worth-Arlington, TX",4.773,22.357,8013,58.0
0,0,0,0,0,0,Dickens,1747,467,Rural Texas,0.0,0.0,0,0.0
1,1,0,0,0,1,Dimmit,8380,1358,Rural Texas,0.0,11.933,88,100.0
1,1,1,0,0,0,Donley,3257,818,Rural Texas,12.225,30.703,110,100.0
5,5,3,0,1,1,Duval,9742,1656,Rural Texas,18.116,51.324,1084,100.0
4,5,2,1,1,0,Eastland,18011,3950,Rural Texas,5.063,22.209,221,60.0
24,24,9,6,3,6,Ector,164654,16258,"Odessa, TX",5.536,14.576,2527,87.5
